Name,Rank,Revenues (M),Mission,Mission Link
Anthem,33,"$79,157",To improve the health of the people we serve. ,https://www.anthem.com/wps/portal/ahpculdesac?content_path=shared/noapplication/f1/s0/t0/pw_018989.htm&na=aboutanthem&label=About%20Anthem
Procter & Gamble,34,"$78,756",We will provide branded products and services of superior quality and value that improve the lives of the world’s consumers.,https://www.pg.com/translations/pvp_pdf/english_PVP.pdf
State Farm Insurance Cos.,35,"$75,697","To help people manage the risks of everyday life, recover from the unexpected, and realize their dreams.",https://www.statefarm.com/about-us/company-overview/company-profile/mission
Alphabet,36,"$74,989",,
Comcast,37,"$74,510",,
Target,38,"$73,785","We fulfill the needs and fuel the potential of our guests. That means making Target your preferred shopping destination in all channels by delivering outstanding value, continuous innovation and exceptional experiences—consistently fulfilling our Expect More. Pay Less.® brand promise.",https://corporate.target.com/about/purpose-beliefs
Johnson & Johnson,39,"$70,074","To help people everywhere live longer, healthier, happier lives.",https://www.jnj.com/about-jnj
MetLife,40,"$69,951",We help people pursue more from life.,https://www.metlife.com/about/corporate-responsibility/overview/purpose-and-values/index.html
Archer Daniels Midland,41,"$67,702", To Serve Vital Needs ,http://www.adm.com/en-US/company/ADM_way/Pages/default.aspx
Marathon Petroleum,42,"$64,566",,
Freddie Mac,43,"$63,491",To stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.,http://www.freddiemac.com/corporate/company_profile/
PepsiCo,44,"$63,056","To provide consumers around the world with delicious, affordable, convenient and complementary foods and beverages from wholesome breakfasts to healthy and fun daytime snacks and beverages to evening treats.",http://www.pepsico.com/Purpose
United Technologies,45,"$61,047",,
Aetna,46,"$60,337",Empowering people to live healthier lives,http://aetnastory.com/2015/our-values.php
Lowe’s,47,"$59,074","We will provide customer-valued solutions with the best prices, products and services to make Lowe's the first choice for home improvement.",https://www.lowes.com/cd_Our+Vision+and+Values_671793447_
UPS,48,"$58,363",,
AIG,49,"$58,327","We reduce fear of the future and empower our clients
through our risk expertise and financial strength",http://www.aig.com/content/dam/aig/america-canada/us/documents/investor-relations/2015-annual-report.pdf
Prudential Financial,50,"$57,119",To help our customers achieve financial prosperity and peace of mind.,http://corporate.prudential.com/view/page/corp/31838
Intel,51,"$55,355","Utilize the power of Moore's Law to bring smart, connected devices to every person on earth.",http://www.intel.com/content/www/us/en/support/programs/000015119.html
Humana,52,"$54,289",,
Disney,53,"$52,465",To be one of the world's leading producers and providers of entertainment and information.,https://thewaltdisneycompany.com/about/
Cisco Systems,54,"$49,161","Shape the future of the Internet by creating unprecedented value and opportunity for our customers, employees, investors, and ecosystem partners.",http://investor.cisco.com/investor-relations/resources/faq/default.aspx
Pfizer,55,"$48,851","To be the premier, innovative biopharmaceutical company.",http://pfizercareers.com/career-types/mission-purpose-values
Dow Chemical,56,"$48,778","To passionately create innovation for our stakeholders at the intersection of chemistry, biology, and physics",http://www.dow.com/en-us/about-dow/our-company/mission-and-vision
Sysco,57,"$48,681",To market and deliver great products to our customers with exceptional service.,http://www.sysco.com/about-sysco/mision-vision-and-strategy.html
FedEx,58,"$47,453","FedEx Corporation will produce superior financial returns for its shareowners by providing high-value-added logistics, transportation, and related business services through focused operating companies. Customer requirements will be met in the highest quality manner appropriate to each market segment served. FedEx will strive to develop mutually rewarding relationships with its team members, partners, and suppliers. Safety will be the first consideration in all operations. Corporate activities will be conducted to the highest ethical and professional standards.",http://about.van.fedex.com/our-story/overview/
Caterpillar,59,"$47,011","To enable economic growth through infrastructure and energy development, and to provide solutions that support communities and protect the planet.",http://www.caterpillar.com/en/company/sustainability/vision-mission-strategy.html
Lockheed Martin,60,"$46,132","We solve complex challenges, advance scientific discovery and deliver innovative solutions to help our customers keep people safe",http://www.lockheedmartin.com/us/who-we-are.html
New York Life Insurance,61,"$45,891",,
Coca-Cola,62,"$44,294","To refresh the world...
To inspire moments of optimism and happiness...
To create value and make a difference.",http://www.coca-colacompany.com/our-company/mission-vision-values
HCA Holdings,63,"$43,591","Above all else, we are committed to the care and improvement of human life. ",http://hcahealthcare.com/about/our-mission-and-values.dot#mission
Ingram Micro,64,"$43,026",Ingram Micro will be universally regarded as the best way to deliver technology to the world.,https://ca.ingrammicro.com/c/Vision.aspx
Energy Transfer Equity,65,"$42,126",,
Tyson Foods,66,"$41,373",To be the global innovative leader of food experiences.,http://www.tysonfoods.com/our-story/core-values
American Airlines Group,67,"$40,990",,
Delta Air Lines,68,"$40,704",,
Nationwide,69,"$40,222",We exist to protect what’s most important and build a secure financial future for U.S. consumers and businesses.,https://www.nationwide.com/about-us/annual-report-at-a-glance.jsp
Johnson Controls,70,"$40,204",,
Best Buy,71,"$39,745",,
Merck,72,"$39,498","Our aspiration is to make great things happen. With our research-driven specialty businesses, we help patients, customers, partners and our communities around the world to live a better life. We deliver entrepreneurial success through innovation.",http://www.emdgroup.com/emd/company/mission_statement_values_strategy/Mission_Statement.html
Liberty Mutual Insurance Group,73,"$39,450","With our policyholders we are engaged in a great mutual enterprise. It is great because it seeks to prevent crippling injuries and death by removing the causes of home, highway, and work accidents. It is great because it deals in the relief of pain and sorrow and fear and loss. It is great because it works to preserve and protect the things people earn and build and own and cherish. Its true greatness will be measured by our power to help people live safer, more secure lives.",https://www.libertymutualgroup.com/about-lm/our-company/culture-and-values/our-creed
Goldman Sachs Group,74,"$39,208",TO PROVIDE SUPERIOR RETURNS TO OUR SHAREHOLDERS.,http://www.goldmansachs.com/who-we-are/business-standards/business-principles/
Honeywell International,75,"$38,581",,
Massachusetts Mutual Life Insurance,76,"$38,243",To help people secure their future and protect the ones they love. ,https://www.massmutual.com/about-us/our-history-and-purpose
Oracle,77,"$38,226",,
Morgan Stanley,78,"$37,897","To provide our clients with the finest financial thinking, products and execution.",https://www.morganstanley.com/about/company/governance/pdf/FinalCode2009.pdf
Cigna,79,"$37,876","To help improve the health, well-being and sense of security of the people we serve.",http://www.cigna.com/about-us/investors/
United Continental Holdings,80,"$37,864","United is focused on being the airline customers want to fly, the airline employees want to work for and the airline shareholders want to invest in.",http://newsroom.united.com/corporate-fact-sheet
Allstate,81,"$35,653",Deliver substantially more value than the competition by reinventing protection and retirement to improve customers' lives,https://www.allstate.com/about/our-shared-purpose.aspx
TIAA,82,"$35,181",,
INTL FCStone,83,"$34,693",,
CHS,84,"$34,582","The mission of Carolinas HealthCare System is to create and operate a comprehensive system to provide healthcare and related services, including education and research opportunities, for the benefit of the people we serve.",http://www.carolinashealthcare.org/newteammateportal/page-content-3-74
American Express,85,"$34,441",We work hard everyday to make american express the world's most respected service brand.,http://about.americanexpress.com/oc/whoweare/
Gilead Sciences,86,"$32,639","To discover, develop and commercialize therapeutics that advance patient care, while challenging employees to make a difference and building a thriving worldwide enterprise.",https://gilead.avature.net/careers/CultureAndValues
Publix Super Markets,87,"$32,619",Our mission at Publix is to be the premier quality food retailer in the world.,http://corporate.publix.com/about-publix/company-overview/mission-statement-guarantee
General Dynamics,88,"$31,469","At General Dynamics IT, our dedication to helping customers achieve mission success is matched only by our commitment to take the path of highest ethical behavior, integrity, trust, respect and teamwork to get there. No shortcuts. Our belief in continuous improvement ensures our customers receive customized solutions to meet current and future needs.",http://gdit.com/about/who-we-are/mission-values-and-ethics/
TJX,89,"$30,945",,
ConocoPhillips,90,"$30,935",,
Nike,91,"$30,601",To bring inspiration and innovation to every athlete* in the world.,http://help-en-us.nike.com/app/answers/detail/a_id/113/~/nike-mission-statement
World Fuel Services,92,"$30,380",Create value for our business partners by delivering innovative solutions and logistics through a global team of local professionals.,https://www.wfscorp.com/About-Us/Our-Values
3M,93,"$30,274","To Improve Every Life through Innovative Giving in Education, Community and the Environment",http://solutions.3m.com/wps/portal/3M/en_US/Community-Giving/US-Home/about-us/
Mondelez International,94,"$29,636",,
Exelon,95,"$29,447","Exelon’s mission is to be the leading diversified energy company - by providing reliable, clean, affordable and innovative energy products.",http://www.exeloncorp.com/company/vision-and-values
Twenty-First Century Fox,96,"$28,987",,
Deere,97,"$28,863",,
Tesoro,98,"$28,150",Every day we create a safer and cleaner future as efficient providers of reliable transportation fuel solutions.,http://tsocorp.com/about-tesoro/
Time Warner,99,"$28,118",,
Northwestern Mutual,100,"$28,111","To build a company that aspired less to be large than to be safe, ranked first in benefits to policyowners rather than first in size and valued quality above quantity.",https://www.northwesternmutual.com/about-us/what-we-believe/our-values
DuPont,101,"$27,940","DuPont is a science company. We work collaboratively to find sustainable, innovative, market-driven solutions to solve some of the world’s biggest challenges, making lives better, safer, and healthier for people everywhere.",http://www.dupont.com/corporate-functions/our-company/purpose.html
Avnet,102,"$27,925",We transform technology into business solutions for customers around the world.,http://www.ts.avnet.com/emea/about/vision_mission_and_values.html
Macy’s,103,"$27,079",,
Enterprise Products Partners,104,"$27,028",,
Travelers Cos.,105,"$26,800",,
Philip Morris International,106,"$26,794",,
Rite Aid,107,"$26,528","To improve the health and wellness of our communities through engaging experiences that provide our customers with the best products, services and advice to meet their unique needs.",https://www.riteaid.com/about-us/mission-statement
Tech Data,108,"$26,380","To be the IT distributor of choice for our customers and business partners, thus enabling our shareholders to prosper.",http://www.techdata.ca/content/cen/about/companyinfo/mission.aspx
McDonald’s,109,"$25,413",,
Qualcomm,110,"$25,281",,
Sears Holdings,111,"$25,146",,
Capital One Financial,112,"$25,098",,
EMC,113,"$24,704",,
USAA,114,"$24,361",,
Duke Energy,115,"$24,002",,
Time Warner Cable,116,"$23,697","Our mission is to connect people and businesses with information, entertainment and each other and give customers control in ways that are simple and easy – to make a difference in their lives.",https://www.timewarnercable.com/en/our-company/corporate-responsibility/overview.html
Halliburton,117,"$23,633","To achieve superior growth and returns for our shareholders by delivering technology and services that improve efficiency, increase recovery, and maximize production for our customers.",http://www.halliburton.com/en-US/about-us/corporate-profile/mission-vision-values.page?node-id=ijzrw073
Northrop Grumman,118,"$23,526","Our Corporate mission is to provide policy guidelines and strategic direction for the implementation and interpretation of the Federal government initiatives and public law mandates. In addition, we ensure consistent application of the prescribed Northrop Grumman initiatives, policies and procedures across the enterprise.",http://www.northropgrumman.com/suppliers/Pages/GSDPMission.aspx
Arrow Electronics,119,"$23,282",,
Raytheon,120,"$23,247",,
Plains GP Holdings,121,"$23,152",,
US Foods Holding,122,"$23,128",,
AbbVie,123,"$22,859",,
Centene,124,"$22,795",,
Community Health Systems,125,"$22,678",,
Alcoa,126,"$22,534",,
International Paper,127,"$22,365","To do our part to improve the world, today and for generations to come, by using renewable resources to make products people depend on every day.",http://www.internationalpaper.com/apps/sustainabilityreport2013/our-approach-to-sustainability/our-vision.html
Emerson Electric,128,"$22,304","To become the industry's steward and trusted partner by:

Becoming an incredibly easy company to do business with through eBusiness and a culture of customer service
Expanding our technology leadership position
Using our broad capabilities in products and services to develop unique, high-value integrated solutions
Being the best value provider for products and services
Maintaining a safe work environment where our people and their ideas flourish",http://www.emersonclimate.com/europe/en-eu/about_us/Pages/mission_and_vision.aspx
Union Pacific,129,"$21,813","Union Pacific works for the good of our customers, shareholders, communities and one another. Our commitment defines us and drives the economic strength of our company and our country.",http://www.up.com/aboutup/corporate_info/uprrover/
Amgen,130,"$21,662",To Serve Patients,http://www.amgen.com/about/mission-and-values/
U.S. Bancorp,131,"$21,494",,
Staples,132,"$21,059","To make more happen for associates, local communities and even the planet — through programs, policies and the values we live by.",http://www.staples.com/sbd/cre/marketing/about_us/
Danaher,133,"$20,909",Helping Realize Life’s Potential,http://www.danaher.com/who-we-are/shared-purpose-core-values
Whirlpool,134,"$20,891",Create Demand and Earn Trust Every day,http://www.whirlpoolcorp.com/our-company/
Aflac,135,"$20,872",,
AutoNation,136,"$20,862",,
Progressive,137,"$20,854",,
Abbott Laboratories,138,"$20,661",,
Dollar General,139,"$20,369",Serving Others,https://newscenter.dollargeneral.com/company+facts/fastfacts/
Tenet Healthcare,140,"$20,111","To help people live happier, healthier lives.",https://www.tenethealth.com/about/our-story
Eli Lilly,141,"$19,959",,
Southwest Airlines,142,"$19,820","The mission of Southwest Airlines is dedication to the highest quality of Customer Service delivered with a sense of warmth, friendliness, individual pride, and Company Spirit.",http://investors.southwest.com/our-company/purpose-vision-values-and-mission
Penske Automotive Group,143,"$19,361",,
ManpowerGroup,144,"$19,330",To lead in the creation and delivery of innovative workforce solutions and services that enable our clients to win in the changing world of work.,http://www.manpowergroup.com/about
Kohl’s,145,"$19,204",,
Starbucks,146,"$19,163","To inspire and nurture the human spirit – one person, one cup and one neighborhood at a time.",https://www.starbucks.com/about-us/company-information/mission-statement
Paccar,147,"$19,115",,
Cummins,148,"$19,110","We unleash the Power of Cummins by: 

Motivating people to act like owners working together.
Exceeding customer expectations by always being first to market with the best products.
Partnering with our customers to make sure that they succeed.
Demanding that everything we do leads to a cleaner, healthier, safer environment.
Creating wealth for all stakeholders.",http://www.cummins.com/about-us/vision-and-mission
Altria Group,149,"$18,854",Our Mission is to own and develop financially disciplined businesses that are leaders in responsibly providing adult tobacco and wine consumers with superior branded products.,http://www.altria.com/About-Altria/Our-Mission-and-Values/Pages/default.aspx
Xerox,150,"$18,664","Our mission is to become change agents and innovators. We use Xerox Lean Six Sigma to constantly search for a better way to meet our customers' challenges. We strive to create business process outsourcing, IT solutions, new technologies, products and services for world-class commercial and government clients that enable better results.",https://www.xerox.com/en-us/jobs/company-information
Kimberly-Clark,151,"$18,591",,
Hartford Financial Services Group,152,"$18,377",,
Kraft Heinz,153,"$18,338","To be the best food company, growing a better world.",http://www.heinz.com/our-company/about-heinz/vision-and-values.aspx
Lear,154,"$18,211","Exceed our customers’ needs and expectations by:
 • delivering the highest quality products and services
 • providing low-cost and high-value added solutions
 • continually improving our operating efficiency
 • conducting our business with integrity
Provide our employees, our most valuable resource, with an environment that:
 • values each employee’s unique experience, diversity and contribution
 • treats all individuals with dignity and respect
 • allows everyone to reach their full potential
 • encourages inclusion and active participation
 • nurtures the ‘can-do’ spirit of the Lear team
Maximize value for our shareholders
Treat our suppliers with respect and foster mutually beneficial relationships
Support the communities where we do business and protect the environment",http://www.lear.com/user_area/content_media/raw/VisionMisionStatement.pdf
Fluor,155,"$18,114",,
AECOM,156,"$17,990",,
Facebook,157,"$17,928",Facebook’s mission is to give people the power to share and make the world more open and connected.,https://www.facebook.com/pg/facebook/about/
Jabil Circuit,158,"$17,914",,
CenturyLink,159,"$17,900",,
Supervalu,160,"$17,820","Our mission at SUPERVALU® always will be to serve our customers better than anyone else could serve them. We will provide our customers with value through our products and services, committing ourselves to providing the quality, variety and convenience they expect.",http://www.supervaluinvestors.com/phoenix.zhtml?c=93272&p=irol-faq
General Mills,161,"$17,630",We serve the world by making food people love.,https://www.generalmills.com/en/Company/purpose
Southern,162,"$17,489",,
NextEra Energy,163,"$17,486",,
Thermo Fisher Scientific,164,"$16,965","Enabling Our Customers to Make the World Healthier, Cleaner and Safer",https://jobs.thermofisher.com/our-mission-values
American Electric Power,165,"$16,900",,
PG&E Corp.,166,"$16,833",,
NGL Energy Partners,167,"$16,802",,
Bristol-Myers Squibb,168,"$16,560",,
Goodyear Tire & Rubber,169,"$16,443",,
Nucor,170,"$16,439",,
PNC Financial Services Group,171,"$16,270",,
Health Net,172,"$16,244",,
Micron Technology,173,"$16,192",,
Colgate-Palmolive,174,"$16,034",,
Freeport-McMoRan,175,"$15,877",,
ConAgra Foods,176,"$15,849",,
Gap,177,"$15,797",,
Baker Hughes,178,"$15,742",,
Bank of New York Mellon Corp.,179,"$15,523",,
Dollar Tree,180,"$15,498",,
Whole Foods Market,181,"$15,389",,
PPG Industries,182,"$15,330",,
Genuine Parts,183,"$15,280",,
Icahn Enterprises,184,"$15,272",,
Performance Food Group,185,"$15,270",,
Omnicom Group,186,"$15,134",,
DISH Network,187,"$15,069",,
FirstEnergy,188,"$15,026",,
Monsanto,189,"$15,001",,
AES,190,"$14,963",,
CarMax,191,"$14,874",,
National Oilwell Varco,192,"$14,757",,
NRG Energy,193,"$14,674",,
Western Digital,194,"$14,572",,
Marriott International,195,"$14,486",,
Office Depot,196,"$14,485",,
Nordstrom,197,"$14,437",,
Kinder Morgan,198,"$14,403",,
Aramark,199,"$14,329",,
DaVita HealthCare Partners,200,"$14,210",,
Molina Healthcare,201,"$14,178",,
WellCare Health Plans,202,"$13,890",,
CBS,203,"$13,886",,
Visa,204,"$13,880",,
Lincoln National,205,"$13,572",,
Ecolab,206,"$13,545",,
Kellogg,207,"$13,525",,
C.H. Robinson Worldwide,208,"$13,476",,
Textron,209,"$13,423",,
Loews,210,"$13,415",,
Illinois Tool Works,211,"$13,405",,
Synnex,212,"$13,338",,
Viacom,213,"$13,268",,
HollyFrontier,214,"$13,238",,
Land O’Lakes,215,"$13,161",,
Devon Energy,216,"$13,145",,
PBF Energy,217,"$13,124",,
Yum Brands,218,"$13,105",,
Texas Instruments,219,"$13,000",,
CDW,220,"$12,989",,
Waste Management,221,"$12,961",,
Marsh & McLennan,222,"$12,893",,
Chesapeake Energy,223,"$12,764",,
Parker-Hannifin,224,"$12,712",,
Occidental Petroleum,225,"$12,699",,
Guardian Life Ins. Co. of America,226,"$12,628",,
Farmers Insurance Exchange,227,"$12,626",,
J.C. Penney,228,"$12,625",,
Consolidated Edison,229,"$12,554",,
Cognizant Technology Solutions,230,"$12,416",,
VF,231,"$12,377",,
Ameriprise Financial,232,"$12,200",,
Computer Sciences,233,"$12,183",,
L Brands,234,"$12,154",,
Jacobs Engineering Group,235,"$12,115",,
Principal Financial,236,"$11,964",,
Ross Stores,237,"$11,940",,
Bed Bath & Beyond,238,"$11,881",,
CSX,239,"$11,811",,
Toys “R” Us,240,"$11,802",,
Las Vegas Sands,241,"$11,689",,
Leucadia National,242,"$11,684",,
Dominion Resources,243,"$11,683",,
United States Steel,244,"$11,574",,
L-3 Communications,245,"$11,554",,
Edison International,246,"$11,524",,
Entergy,247,"$11,513",,
ADP,248,"$11,477",,
First Data,249,"$11,451",,
BlackRock,250,"$11,401",,
WestRock,251,"$11,381",,
Voya Financial,252,"$11,341",,
Sherwin-Williams,253,"$11,339",,
Hilton Worldwide Holdings,254,"$11,272",,
R.R. Donnelley & Sons,255,"$11,257",,
Stanley Black & Decker,256,"$11,211",,
Xcel Energy,257,"$11,025",,
Murphy USA,258,"$10,885",,
CBRE Group,259,"$10,856",,
D.R. Horton,260,"$10,824",,
Estee Lauder,261,"$10,780",,
Praxair,262,"$10,776",,
Biogen,263,"$10,764",,
State Street Corp.,264,"$10,760",,
Unum Group,265,"$10,731",,
Reynolds American,266,"$10,675",,
Group 1 Automotive,267,"$10,633",,
Henry Schein,268,"$10,630",,
Hertz Global Holdings,269,"$10,535",,
Norfolk Southern,270,"$10,511",,
Reinsurance Group of America,271,"$10,418",,
Public Service Enterprise Group,272,"$10,415",,
BB&T Corp.,273,"$10,346",,
DTE Energy,274,"$10,337",,
Assurant,275,"$10,326",,
Global Partners,276,"$10,315",,
Huntsman,277,"$10,299",,
Becton Dickinson,278,"$10,282",,
Sempra Energy,279,"$10,231",,
AutoZone,280,"$10,187",,
Navistar International,281,"$10,140",,
Precision Castparts,282,"$10,056",,
Discover Financial Services,283,"$10,002",,
Liberty Interactive,284,"$9,989",,
W.W. Grainger,285,"$9,973",,
Baxter International,286,"$9,968",,
Stryker,287,"$9,946",,
Air Products & Chemicals,288,"$9,895",,
Western Refining,289,"$9,787",,
Universal Health Services,290,"$9,785",,
Owens & Minor,291,"$9,773",,
Charter Communications,292,"$9,754",,
Advance Auto Parts,293,"$9,737",,
MasterCard,294,"$9,667",,
Applied Materials,295,"$9,659",,
Eastman Chemical,296,"$9,648",,
Sonic Automotive,297,"$9,624",,
Ally Financial,298,"$9,539",,
CST Brands,299,"$9,499",,
eBay,300,"$9,496",,
Lennar,301,"$9,474",,
GameStop,302,"$9,364",,
Reliance Steel & Aluminum,303,"$9,351",,
Hormel Foods,304,"$9,264",,
Celgene,305,"$9,256",,
Genworth Financial,306,"$9,249",,
PayPal Holdings,307,"$9,248",,
Priceline Group,308,"$9,224",,
MGM Resorts International,309,"$9,190",,
Autoliv,310,"$9,170",,
Fidelity National Financial,311,"$9,132",,
Republic Services,312,"$9,115",,
Corning,313,"$9,111",,
Peter Kiewit Sons’,314,"$8,992",,
Univar,315,"$8,982",,
Mosaic,316,"$8,895",,
Core-Mark Holding,317,"$8,858",,
Thrivent Financial for Lutherans,318,"$8,789",,
Cameron International,319,"$8,782",,
HD Supply Holdings,320,"$8,779",,
Crown Holdings,321,"$8,762",,
EOG Resources,322,"$8,757",,
Veritiv,323,"$8,718",,
Anadarko Petroleum,324,"$8,698",,
Laboratory Corp. of America,325,"$8,680",,
Pacific Life,326,"$8,642",,
News Corp.,327,"$8,633",,
Jarden,328,"$8,604",,
SunTrust Banks,329,"$8,533",,
Avis Budget Group,330,"$8,502",,
Broadcom,331,"$8,394",,
American Family Insurance Group,332,"$8,286",,
Level 3 Communications,333,"$8,229",,
Tenneco,334,"$8,209",,
United Natural Foods,335,"$8,185",,
Dean Foods,336,"$8,122",,
Campbell Soup,337,"$8,082",,
Mohawk Industries,338,"$8,072",,
BorgWarner,339,"$8,023",,
PVH,340,"$8,020",,
Ball,341,"$7,997",,
O’Reilly Automotive,342,"$7,967",,
Eversource Energy,343,"$7,955",,
Franklin Resources,344,"$7,949",,
Masco,345,"$7,904",,
Lithia Motors,346,"$7,864",,
KKR,347,"$7,786",,
Oneok,348,"$7,763",,
Newmont Mining,349,"$7,729",,
PPL,350,"$7,669",,
SpartanNash,351,"$7,652",,
Quanta Services,352,"$7,632",,
XPO Logistics,353,"$7,623",,
Ralph Lauren,354,"$7,620",,
Interpublic Group,355,"$7,614",,
Steel Dynamics,356,"$7,594",,
WESCO International,357,"$7,519",,
Quest Diagnostics,358,"$7,493",,
Boston Scientific,359,"$7,477",,
AGCO,360,"$7,467",,
Foot Locker,361,"$7,412",,
Hershey,362,"$7,387",,
CenterPoint Energy,363,"$7,386",,
Williams,364,"$7,360",,
Dick’s Sporting Goods,365,"$7,271",,
Live Nation Entertainment,366,"$7,246",,
Mutual of Omaha Insurance,367,"$7,236",,
W.R. Berkley,368,"$7,207",,
LKQ,369,"$7,193",,
Avon Products,370,"$7,173",,
Darden Restaurants,371,"$7,164",,
Kindred Healthcare,372,"$7,098",,
Weyerhaeuser,373,"$7,082",,
Casey’s General Stores,374,"$7,052",,
Sealed Air,375,"$7,032",,
Fifth Third Bancorp,376,"$7,031",,
Dover,377,"$7,029",,
Huntington Ingalls Industries,378,"$7,020",,
Netflix,379,"$6,780",,
Dillard’s,380,"$6,755",,
EMCOR Group,381,"$6,723",,
Jones Financial,382,"$6,694",,
AK Steel Holding,383,"$6,693",,
UGI,384,"$6,691",,
Expedia,385,"$6,672",,
salesforce.com,386,"$6,667",,
Targa Resources,387,"$6,659",,
Apache,388,"$6,654",,
Spirit AeroSystems Holdings,389,"$6,644",,
Expeditors International of Washington,390,"$6,617",,
Anixter International,391,"$6,596",,
Fidelity National Information Services,392,"$6,595",,
Asbury Automotive Group,393,"$6,588",,
Hess,394,"$6,575",,
Ryder System,395,"$6,572",,
Terex,396,"$6,543",,
Coca-Cola European Partners,397,"$6,540",,
Auto-Owners Insurance,398,"$6,517",,
Cablevision Systems,399,"$6,510",,
Symantec,400,"$6,508",,
Charles Schwab,401,"$6,501",,
Calpine,402,"$6,472",,
